SHARK_ID,TAG_TYPE,TAG_MAKE,TAG_MODEL
10_17,PAT_MODEL,Wildlife Computers,MiniPAT
11_06_C,PAT_MODEL,Wildlife Computers,MiniPAT
13_01,PAT_MODEL,Wildlife Computers,MiniPAT
14_07,PAT_MODEL,Wildlife Computers,MiniPAT
16_03,PAT_MODEL,Wildlife Computers,MiniPAT
16_2MX,PAT_MODEL,Wildlife Computers,MiniPAT
17_01,PAT_MODEL,Wildlife Computers,MiniPAT
17_19,PAT_MODEL,Wildlife Computers,MiniPAT
17_21,PAT_MODEL,Wildlife Computers,MiniPAT
18_02,PAT_MODEL,Wildlife Computers,MiniPAT
18_16,PAT_MODEL,Wildlife Computers,MiniPAT
19_11,PAT_MODEL,Wildlife Computers,MiniPAT
19_13,PAT_MODEL,Wildlife Computers,MiniPAT
19_15,PAT_MODEL,Wildlife Computers,MiniPAT
19_19,PAT_MODEL,Wildlife Computers,MiniPAT
19_20,PAT_MODEL,Wildlife Computers,MiniPAT
19_22,PAT_MODEL,Wildlife Computers,MiniPAT
20_03,PAT_MODEL,Wildlife Computers,MIniPAT
03_02,PAT_MODEL,Wildlife Computers,MK10
06_10,PAT_MODEL,Wildlife Computers,MK10
07_01,PAT_MODEL,Wildlife Computers,MK10
07_03,PAT_MODEL,Wildlife Computers,MK10
07_05,PAT_MODEL,Wildlife Computers,MK10
08_01,PAT_MODEL,Wildlife Computers,MK10
08_02,PAT_MODEL,Wildlife Computers,MK10
08_04,PAT_MODEL,Wildlife Computers,MK10
08_07,PAT_MODEL,Wildlife Computers,MK10
08_09,PAT_MODEL,Wildlife Computers,MK10
08_11,PAT_MODEL,Wildlife Computers,MK10
08_13,PAT_MODEL,Wildlife Computers,MK10
08_17,PAT_MODEL,Wildlife Computers,MK10
08_18,PAT_MODEL,Wildlife Computers,MK10
09_04,PAT_MODEL,Wildlife Computers,MK10
09_07,PAT_MODEL,Wildlife Computers,MK10
09_09,PAT_MODEL,Wildlife Computers,MK10
09_09_B,PAT_MODEL,Wildlife Computers,MK10
09_11_B,PAT_MODEL,Wildlife Computers,MK10
09_12,PAT_MODEL,Wildlife Computers,MK10
09_15,PAT_MODEL,Wildlife Computers,MK10
10_05,PAT_MODEL,Wildlife Computers,MK10
10_07,PAT_MODEL,Wildlife Computers,MK10
10_10,PAT_MODEL,Wildlife Computers,MK10
10_16,PAT_MODEL,Wildlife Computers,MK10
10_18,PAT_MODEL,Wildlife Computers,MK10
10_19,PAT_MODEL,Wildlife Computers,MK10
11_05,PAT_MODEL,Wildlife Computers,MK10
15_10,PAT_MODEL,Wildlife Computers,MK10
15_1MX,PAT_MODEL,Wildlife Computers,MK10
15_2MX,PAT_MODEL,Wildlife Computers,MK10
16_1MX,PAT_MODEL,Wildlife Computers,MK10
16_3MX,PAT_MODEL,Wildlife Computers,MK10
16_4MX,PAT_MODEL,Wildlife Computers,MK10
02_01,PAT_MODEL,Wildlife Computers,PAT2
03_01,PAT_MODEL,Wildlife Computers,PAT2
03_03,PAT_MODEL,Wildlife Computers,PAT2
04_01,PAT_MODEL,Wildlife Computers,PAT4
04_02,PAT_MODEL,Wildlife Computers,PAT4
05_01,PAT_MODEL,Wildlife Computers,PAT4
06_05,SPOT_MODEL,Wildlife Computers,SPOT5
06_12,SPOT_MODEL,Wildlife Computers,SPOT5
06_13,SPOT_MODEL,Wildlife Computers,SPOT5
06_14,SPOT_MODEL,Wildlife Computers,SPOT5
07_03,SPOT_MODEL,Wildlife Computers,SPOT5
07_05,SPOT_MODEL,Wildlife Computers,SPOT5
08_01,SPOT_MODEL,Wildlife Computers,SPOT5
08_02,SPOT_MODEL,Wildlife Computers,SPOT5
08_04,SPOT_MODEL,Wildlife Computers,SPOT5
08_07,SPOT_MODEL,Wildlife Computers,SPOT5
08_09,SPOT_MODEL,Wildlife Computers,SPOT5
08_13,SPOT_MODEL,Wildlife Computers,SPOT5
08_18,SPOT_MODEL,Wildlife Computers,SPOT5
09_07,SPOT_MODEL,Wildlife Computers,SPOT5
09_09,SPOT_MODEL,Wildlife Computers,SPOT5
09_11_B,SPOT_MODEL,Wildlife Computers,SPOT5
09_12,SPOT_MODEL,Wildlife Computers,SPOT5
09_13,SPOT_MODEL,Wildlife Computers,SPOT5
09_14,SPOT_MODEL,Wildlife Computers,SPOT5
09_15,SPOT_MODEL,Wildlife Computers,SPOT5
15_10,ACOUSTIC_ID,Vemco,V16
11_06_C,ACOUSTIC_ID,Vemco,V16
14_07,ACOUSTIC_ID,Vemco,V16
11_05,ACOUSTIC_ID,Vemco,V16
10_19,ACOUSTIC_ID,Vemco,V16
10_18,ACOUSTIC_ID,Vemco,V16
10_17,ACOUSTIC_ID,Vemco,V16
10_16,ACOUSTIC_ID,Vemco,V16
17_01,ACOUSTIC_ID,Vemco,V16
13_01,ACOUSTIC_ID,Vemco,V16
17_19,ACOUSTIC_ID,Vemco,V16
17_21,ACOUSTIC_ID,Vemco,V16
16_2MX,ACOUSTIC_ID,Vemco,V16
16_3MX,ACOUSTIC_ID,Vemco,V16
16_1MX,ACOUSTIC_ID,Vemco,V16
16_4MX,ACOUSTIC_ID,Vemco,V16
15_2MX,ACOUSTIC_ID,Vemco,V16
15_1MX,ACOUSTIC_ID,Vemco,V16
19_20,ACOUSTIC_ID,Vemco,V16
19_13,ACOUSTIC_ID,Vemco,V16
20_03,ACOUSTIC_ID,Vemco,V16